module_id,label,module_kind,module_note,worktree_suffix,branch_suffix,paths,shared_touchpoints,focus
auth_middleware,Auth and Middleware,business-core,后端核心鉴权链路，适合单独审计登录 会话 JWT 和租户上下文,auth,auth-middleware,internal/handler/auth_*;internal/service/auth/*;internal/middleware/auth.go;internal/middleware/tenant*.go;internal/middleware/impersonation.go;internal/pkg/jwt/*,internal/handler/routes*.go;internal/handler/http_helpers.go;internal/handler/context_helpers.go,鉴权错误语义 租户上下文 权限刷新 黑名单 登录登出
tenant_user_role,Tenant User Role Permission,business-core,多租户成员和角色权限核心链路，重点看边界和越权,tenant,tenant-user-role,internal/handler/tenant_*;internal/handler/user_*;internal/repository/tenant*;internal/repository/role*;internal/repository/permission*;internal/repository/user.go;internal/repository/invitation.go,internal/handler/routes_tenant*.go;internal/repository/tenant_scope.go,多租户边界 角色作用域 用户权限 关联一致性
execution_healing,Execution and Healing,business-core,执行与自愈状态机主链路，优先级最高的后台运行模块,healing,execution-healing,internal/handler/execution_*;internal/handler/healing_*;internal/modules/automation/service/execution/*;internal/modules/automation/service/healing/*;internal/repository/execution*;internal/repository/flow_*;internal/repository/healing*;internal/repository/incident*;internal/repository/approval_task.go,internal/handler/routes_tenant_operations.go;internal/service/healing/executor.go,状态机 事务 并发 取消 异步生命周期 持久化一致性
plugin_git_cmdb,Plugin Git CMDB Playbook Schedule,business-core,插件 Git CMDB Playbook Schedule 这组外部集成与同步链路,plugin,plugin-git-cmdb,internal/handler/plugin_*;internal/handler/git_*;internal/handler/cmdb_*;internal/handler/playbook_*;internal/handler/schedule_*;internal/modules/integrations/service/plugin/*;internal/modules/integrations/service/git/*;internal/modules/integrations/service/playbook/*;internal/modules/automation/service/schedule/*;internal/repository/plugin*;internal/repository/git*;internal/repository/cmdb*;internal/repository/playbook*;internal/repository/schedule*;internal/git/*,internal/handler/routes_tenant_operations.go;internal/service/plugin/service.go;internal/service/git/service.go,同步一致性 后台任务 生命周期 文件路径 权限和输入校验
notification_dashboard,Notification Dashboard Workbench Search,business-core,通知 仪表盘 工作台 搜索 聚合接口与用户侧读路径,ui-backend,notification-dashboard,internal/handler/notification_*;internal/handler/dashboard*;internal/handler/workbench*;internal/handler/search*;internal/handler/preference*;internal/handler/site_message_*;internal/notification/*;internal/notification/provider/*;internal/repository/notification*;internal/repository/dashboard*;internal/repository/workbench*;internal/repository/search*;internal/repository/user_preference.go;internal/repository/site_message*;internal/repository/workspace_repository.go;internal/service/platform_email.go,internal/handler/routes_tenant_core.go;internal/handler/routes_platform.go,并发读写 事件流 权限隔离 聚合接口 错误暴露
http_platform_core,platform HTTP Core,platform-core,平台公共 HTTP 装配层与中间件，不是业务模块而是公共入口,platform,platform-http-core,internal/handler/routes*.go;internal/handler/context_helpers.go;internal/handler/http_helpers.go;internal/handler/query_filter.go;internal/handler/validation.go;internal/handler/lifecycle.go;internal/handler/message_event_bus.go;internal/handler/sse.go;internal/middleware/access_denied.go;internal/middleware/cors.go;internal/middleware/error_response.go;internal/middleware/lifecycle.go;internal/middleware/logger.go;internal/middleware/request_id.go,internal/handler/routes.go;internal/middleware/lifecycle.go,路由装配 生命周期 错误回包 请求上下文 SSE 事件总线
platform_audit_ops,Platform Audit Blacklist Dictionary,platform-core,平台审计 黑名单 字典 配置和 impersonation 运营链路,platform-ops,platform-audit-ops,internal/handler/audit_*;internal/handler/blacklist_exemption_*;internal/handler/command_blacklist_*;internal/handler/dictionary_*;internal/handler/impersonation_*;internal/handler/platform_audit_*;internal/handler/platform_settings_*;internal/handler/user_activity_*;internal/service/blacklist_exemption_service.go;internal/service/command_blacklist_service*;internal/service/dictionary_*;internal/repository/audit_*;internal/repository/blacklist_exemption_*;internal/repository/command_blacklist_*;internal/repository/dictionary_repository.go;internal/repository/impersonation*;internal/repository/platform_audit_log.go;internal/repository/platform_settings.go;internal/repository/user_activity.go;internal/middleware/audit*.go;internal/middleware/permission.go,internal/handler/routes_platform.go;internal/middleware/permission.go,审计日志 权限校验 黑白名单 字典 平台配置 冒充链路
secrets_logs,Secrets and Logs,platform-core,密钥源与日志链路，偏平台底座和安全相关模块,secrets,secrets-logs,internal/handler/secrets_*;internal/service/secrets/*;internal/repository/secrets.go;internal/secrets/*;internal/secrets/provider/*;internal/service/logs/*;internal/handler/logs/*;internal/middleware/logs/*,internal/handler/routes_platform.go;internal/service/secrets/service.go,密钥源 生命周期 脱敏 错误暴露 提供方集成
model_engine_scheduler,Model Engine Scheduler,infra-core,领域模型 引擎 调度器 底层运行框架，不是脚手架本身,engine,model-engine-scheduler,internal/model/*;internal/engine/*;internal/engine/provider/*;internal/scheduler/*;internal/scheduler/provider/*,internal/service/healing/service.go;internal/handler/routes.go,领域模型 引擎编排 调度器依赖 周期任务 启动关闭
config_database_pkg,Config Database Package,infra-core,启动 配置 数据库 包工具等基础设施层,infra,config-database-pkg,cmd/*;internal/config/*;internal/database/*;internal/pkg/*;pkg/*;configs/*;migrations/*,cmd/*;internal/database/*,启动失败可见性 配置默认值 数据迁移 seed 完整性 日志和工具库
quality_ops_surface,Quality Ops Surface,quality-surface,测试 部署 CI 脚本 文档 API 契约等表层质量资产，不是业务主链路，也不包含并行审查脚手架,surface,quality-ops-surface,internal/**/*_test.go;api/*;tests/*;tests/e2e/*;tests/playbooks/*;deployments/*;docker/*;tools/*;scripts/*（不含 scripts/review/*）;.github/workflows/*;docs/api/*,.github/workflows/*;deployments/*,测试覆盖 CI 流程 发布清单 脚本工具 API 契约
